fold,catboost_mae_total,catboost_mae_margin,catboost_brier_win,catboost_composite,xgboost_mae_total,xgboost_mae_margin,xgboost_brier_win,xgboost_composite
1,16.943846977307157,11.760300882637264,0.2527738333230558,0.8268567905219443,16.8603946685791,12.008918333845212,0.2647508510713359,0.8421371111198221
2,14.84858500701942,10.694531148744012,0.2124255963093594,0.723287919424628,14.319803085327148,10.62342859208584,0.218228152052962,0.7170927856012218
3,14.403320214872702,11.523668768842576,0.208275788379288,0.7268155680535936,14.442211837768555,11.475820212513208,0.2110833245208337,0.729443965526469
4,14.48888145981282,11.132544365400586,0.2596713091178031,0.7720998256220712,15.297669982910156,11.325661611640824,0.2699906501964101,0.8024572820874297
5,16.609904034211237,10.535551660005812,0.2145617160195647,0.7574708299039057,16.65634826660156,10.587758483365178,0.2225928639183275,0.7674749989176624
6,15.186338843072216,10.939122698186324,0.2355234043245104,0.7580326351496813,15.040302276611328,11.24352005507797,0.2548023214199725,0.7804787680537585
7,14.447122897618923,12.490468308204882,0.2490787773426341,0.7878306014591101,14.286883239746096,12.328203049805015,0.255462317553568,0.7877640433445903
8,17.140334575465527,10.135439655668968,0.2105840977893124,0.7560995824120024,16.62306938171387,10.103182048127056,0.2147055962021958,0.7492306247990143
9,13.939966807027307,11.125506842140894,0.1952817256790388,0.6965911986624028,14.079035110473631,11.279583805818111,0.2001613360789419,0.7073337144047768
10,14.684118208662492,12.32020667653422,0.2260506409201866,0.7661371386241207,15.034473724365236,12.21559504984878,0.2242381244732668,0.7692394999575471
11,15.337049962897549,10.840963939827034,0.2151859938177867,0.7387462718722784,15.320869140625,11.017731219958511,0.2299901760496995,0.7567621832613698
12,15.81308051999366,10.850996357267563,0.2571305385601358,0.7904120761053602,15.820583724975586,10.965916798627005,0.2554166169705748,0.7911466274426266
