name,catboost_weight,xgboost_weight,mae_total,rmse_total,r2_total,mae_margin,rmse_margin,brier_win,log_loss,ece,mean_mae_total,std_mae_total,mean_brier,std_brier,totals_bets,totals_wins,totals_roi,spreads_bets,spreads_wins,spreads_roi,moneyline_bets,moneyline_wins,moneyline_roi,totals_win_rate,spreads_win_rate,moneyline_win_rate
catboost_100,1.0,0.0,8.058902347718533,12.329829531858902,0.40878634203218134,3.778375674396833,4.948910640229663,0.11056363367836536,0.9804656010581893,0.08040547259372724,8.058902347718533,3.0839248234859964,0.11056363367836536,0.048766137814089824,2127,1721,0.5446852160533402,2233,2032,0.737247078939869,2521,2199,0.6652482781003209,0.8091208274565115,0.9099865651589789,0.8722729075763586
catboost_75,0.75,0.25,8.0433911960714,12.426317035433895,0.3994970112213422,3.8056358579144725,4.98667481943555,0.10647310118719747,0.48270577089821287,0.07874236068325743,8.0433911960714,3.1811134625710626,0.10647310118719747,0.04526802158981086,2113,1716,0.5504022716516801,2229,2023,0.732656307353481,2527,2200,0.6620498614958449,0.8121154756270705,0.9075818752803948,0.8705975464978235
catboost_60,0.6,0.4,8.051126389017437,12.500680438058971,0.3922882683150879,3.839233828078333,5.028815857497361,0.10517081688469562,0.4663862082750083,0.0750947388703103,8.051126389017435,3.2392891483720887,0.10517081688469562,0.04407979776855232,2125,1720,0.54524064171123,2223,2015,0.7304625199362041,2527,2195,0.6582724754469906,0.8094117647058824,0.9064327485380117,0.8686189157103285
balanced_50,0.5,0.5,8.061515432793975,12.556989067096,0.3868011295360222,3.8675028919562067,5.064821983657445,0.10478264201311062,0.460516025367081,0.07269855807189365,8.061515432793977,3.277826298948627,0.1047826420131106,0.043617498274069855,2123,1711,0.5386031773219715,2222,2017,0.7329596596023239,2515,2189,0.6616302186878728,0.8059349976448422,0.9077407740774077,0.8703777335984095
xgboost_60,0.4,0.6,8.076283535139165,12.618600997795632,0.38076894261703964,3.900360621926924,5.107005032532063,0.10477847887225857,0.45742196393020396,0.0709372778476216,8.076283535139165,3.3154364491510036,0.10477847887225858,0.043391888901189626,2111,1704,0.541018905301236,2227,2020,0.7316406090541699,2515,2182,0.6563166455810591,0.8072003789673141,0.9070498428378985,0.8675944333996024
xgboost_75,0.25,0.75,8.105408949471705,12.720792207361198,0.3706986969762214,3.957858591053855,5.181525300432279,0.10549225615610482,0.4573159336748393,0.07094000092022151,8.105408949471705,3.371621856684252,0.10549225615610482,0.04345293718861184,2110,1709,0.5462731581214993,2221,2011,0.7285825385780361,2517,2179,0.6527251056452487,0.8099526066350711,0.9054479963980189,0.8657131505760827
xgboost_100,0.0,1.0,8.178031837612975,12.916466038363335,0.3511897135419394,4.07762511094046,5.3342547645789145,0.10860194361618013,0.48181874747322073,0.07244255050768389,8.178031837612975,3.4613607516492353,0.10860194361618015,0.0445007482768384,2122,1712,0.5402279153457288,2222,2005,0.7226495376810408,2509,2160,0.6435378093409182,0.8067860508953817,0.9023402340234024,0.8609007572738143
