2026-02-01 14:40:51,605 - INFO - ======================================================================
2026-02-01 14:40:51,605 - INFO - ADDING DATES FROM GAME IDs
2026-02-01 14:40:51,605 - INFO - ======================================================================
2026-02-01 14:40:51,658 - INFO - 📊 Loaded 3520 pregame games
2026-02-01 14:40:51,664 - WARNING - ⚠️ Could not extract date from 0022300058: month must be in 1..12, not 0
2026-02-01 14:40:51,664 - WARNING - ⚠️ Could not extract date from 0022300059: month must be in 1..12, not 0
2026-02-01 14:40:51,664 - WARNING - ⚠️ Could not extract date from 0022300060: month must be in 1..12, not 0
2026-02-01 14:40:51,664 - WARNING - ⚠️ Could not extract date from 0022300061: month must be in 1..12, not 0
2026-02-01 14:40:51,664 - WARNING - ⚠️ Could not extract date from 0022300062: month must be in 1..12, not 0
2026-02-01 14:40:51,665 - WARNING - ⚠️ Could not extract date from 0022300063: month must be in 1..12, not 0
2026-02-01 14:40:51,665 - WARNING - ⚠️ Could not extract date from 0022300064: month must be in 1..12, not 0
2026-02-01 14:40:51,665 - WARNING - ⚠️ Could not extract date from 0022300065: month must be in 1..12, not 0
2026-02-01 14:40:51,665 - WARNING - ⚠️ Could not extract date from 0022300066: month must be in 1..12, not 0
2026-02-01 14:40:51,665 - WARNING - ⚠️ Could not extract date from 0022300067: month must be in 1..12, not 0
2026-02-01 14:40:51,665 - WARNING - ⚠️ Could not extract date from 0022300068: month must be in 1..12, not 0
2026-02-01 14:40:51,665 - WARNING - ⚠️ Could not extract date from 0022300069: month must be in 1..12, not 0
2026-02-01 14:40:51,665 - WARNING - ⚠️ Could not extract date from 0022300070: month must be in 1..12, not 0
2026-02-01 14:40:51,665 - WARNING - ⚠️ Could not extract date from 0022300071: month must be in 1..12, not 0
2026-02-01 14:40:51,665 - WARNING - ⚠️ Could not extract date from 0022300072: month must be in 1..12, not 0
2026-02-01 14:40:51,665 - WARNING - ⚠️ Could not extract date from 0022300073: month must be in 1..12, not 0
2026-02-01 14:40:51,665 - WARNING - ⚠️ Could not extract date from 0022300074: month must be in 1..12, not 0
2026-02-01 14:40:51,665 - WARNING - ⚠️ Could not extract date from 0022300075: month must be in 1..12, not 0
2026-02-01 14:40:51,665 - WARNING - ⚠️ Could not extract date from 0022300076: month must be in 1..12, not 0
2026-02-01 14:40:51,665 - WARNING - ⚠️ Could not extract date from 0022300077: month must be in 1..12, not 0
2026-02-01 14:40:51,665 - WARNING - ⚠️ Could not extract date from 0022300078: month must be in 1..12, not 0
2026-02-01 14:40:51,665 - WARNING - ⚠️ Could not extract date from 0022300079: month must be in 1..12, not 0
2026-02-01 14:40:51,665 - WARNING - ⚠️ Could not extract date from 0022300080: month must be in 1..12, not 0
2026-02-01 14:40:51,665 - WARNING - ⚠️ Could not extract date from 0022300081: month must be in 1..12, not 0
2026-02-01 14:40:51,665 - WARNING - ⚠️ Could not extract date from 0022300082: month must be in 1..12, not 0
2026-02-01 14:40:51,665 - WARNING - ⚠️ Could not extract date from 0022300083: month must be in 1..12, not 0
2026-02-01 14:40:51,665 - WARNING - ⚠️ Could not extract date from 0022300084: month must be in 1..12, not 0
2026-02-01 14:40:51,665 - WARNING - ⚠️ Could not extract date from 0022300085: month must be in 1..12, not 0
2026-02-01 14:40:51,665 - WARNING - ⚠️ Could not extract date from 0022300086: month must be in 1..12, not 0
2026-02-01 14:40:51,665 - WARNING - ⚠️ Could not extract date from 0022300087: month must be in 1..12, not 0
2026-02-01 14:40:51,666 - WARNING - ⚠️ Could not extract date from 0022300088: month must be in 1..12, not 0
2026-02-01 14:40:51,666 - WARNING - ⚠️ Could not extract date from 0022300089: month must be in 1..12, not 0
2026-02-01 14:40:51,666 - WARNING - ⚠️ Could not extract date from 0022300090: month must be in 1..12, not 0
2026-02-01 14:40:51,666 - WARNING - ⚠️ Could not extract date from 0022300091: month must be in 1..12, not 0
2026-02-01 14:40:51,666 - WARNING - ⚠️ Could not extract date from 0022300092: month must be in 1..12, not 0
2026-02-01 14:40:51,666 - WARNING - ⚠️ Could not extract date from 0022300093: month must be in 1..12, not 0
2026-02-01 14:40:51,666 - WARNING - ⚠️ Could not extract date from 0022300094: month must be in 1..12, not 0
2026-02-01 14:40:51,666 - WARNING - ⚠️ Could not extract date from 0022300095: month must be in 1..12, not 0
2026-02-01 14:40:51,666 - WARNING - ⚠️ Could not extract date from 0022300096: month must be in 1..12, not 0
2026-02-01 14:40:51,666 - WARNING - ⚠️ Could not extract date from 0022300097: month must be in 1..12, not 0
2026-02-01 14:40:51,666 - WARNING - ⚠️ Could not extract date from 0022300098: month must be in 1..12, not 0
2026-02-01 14:40:51,666 - WARNING - ⚠️ Could not extract date from 0022300099: month must be in 1..12, not 0
2026-02-01 14:40:51,666 - WARNING - ⚠️ Could not extract date from 0022300100: month must be in 1..12, not 0
2026-02-01 14:40:51,666 - WARNING - ⚠️ Could not extract date from 0022300101: month must be in 1..12, not 0
2026-02-01 14:40:51,666 - WARNING - ⚠️ Could not extract date from 0022300102: month must be in 1..12, not 0
2026-02-01 14:40:51,667 - WARNING - ⚠️ Could not extract date from 0022300103: month must be in 1..12, not 0
2026-02-01 14:40:51,667 - WARNING - ⚠️ Could not extract date from 0022300104: month must be in 1..12, not 0
2026-02-01 14:40:51,667 - WARNING - ⚠️ Could not extract date from 0022300105: month must be in 1..12, not 0
2026-02-01 14:40:51,667 - WARNING - ⚠️ Could not extract date from 0022300106: month must be in 1..12, not 0
2026-02-01 14:40:51,667 - WARNING - ⚠️ Could not extract date from 0022300107: month must be in 1..12, not 0
2026-02-01 14:40:51,667 - WARNING - ⚠️ Could not extract date from 0022300108: month must be in 1..12, not 0
2026-02-01 14:40:51,667 - WARNING - ⚠️ Could not extract date from 0022300109: month must be in 1..12, not 0
2026-02-01 14:40:51,667 - WARNING - ⚠️ Could not extract date from 0022300110: month must be in 1..12, not 0
2026-02-01 14:40:51,667 - WARNING - ⚠️ Could not extract date from 0022300111: month must be in 1..12, not 0
2026-02-01 14:40:51,667 - WARNING - ⚠️ Could not extract date from 0022300112: month must be in 1..12, not 0
2026-02-01 14:40:51,667 - WARNING - ⚠️ Could not extract date from 0022300113: month must be in 1..12, not 0
2026-02-01 14:40:51,667 - WARNING - ⚠️ Could not extract date from 0022300114: month must be in 1..12, not 0
2026-02-01 14:40:51,668 - WARNING - ⚠️ Could not extract date from 0022300115: month must be in 1..12, not 0
2026-02-01 14:40:51,668 - WARNING - ⚠️ Could not extract date from 0022300116: month must be in 1..12, not 0
2026-02-01 14:40:51,668 - WARNING - ⚠️ Could not extract date from 0022300117: month must be in 1..12, not 0
2026-02-01 14:40:51,668 - WARNING - ⚠️ Could not extract date from 0022300118: month must be in 1..12, not 0
2026-02-01 14:40:51,668 - WARNING - ⚠️ Could not extract date from 0022300119: month must be in 1..12, not 0
2026-02-01 14:40:51,668 - WARNING - ⚠️ Could not extract date from 0022300120: month must be in 1..12, not 0
2026-02-01 14:40:51,668 - WARNING - ⚠️ Could not extract date from 0022300121: month must be in 1..12, not 0
2026-02-01 14:40:51,668 - WARNING - ⚠️ Could not extract date from 0022300122: month must be in 1..12, not 0
2026-02-01 14:40:51,668 - WARNING - ⚠️ Could not extract date from 0022300123: month must be in 1..12, not 0
2026-02-01 14:40:51,668 - WARNING - ⚠️ Could not extract date from 0022300124: month must be in 1..12, not 0
2026-02-01 14:40:51,668 - WARNING - ⚠️ Could not extract date from 0022300125: month must be in 1..12, not 0
2026-02-01 14:40:51,668 - WARNING - ⚠️ Could not extract date from 0022300126: month must be in 1..12, not 0
2026-02-01 14:40:51,668 - WARNING - ⚠️ Could not extract date from 0022300127: month must be in 1..12, not 0
2026-02-01 14:40:51,668 - WARNING - ⚠️ Could not extract date from 0022300128: month must be in 1..12, not 0
2026-02-01 14:40:51,668 - WARNING - ⚠️ Could not extract date from 0022300129: month must be in 1..12, not 0
2026-02-01 14:40:51,668 - WARNING - ⚠️ Could not extract date from 0022300130: month must be in 1..12, not 0
2026-02-01 14:40:51,668 - WARNING - ⚠️ Could not extract date from 0022300131: month must be in 1..12, not 0
2026-02-01 14:40:51,669 - WARNING - ⚠️ Could not extract date from 0022300132: month must be in 1..12, not 0
2026-02-01 14:40:51,669 - WARNING - ⚠️ Could not extract date from 0022300133: month must be in 1..12, not 0
2026-02-01 14:40:51,669 - WARNING - ⚠️ Could not extract date from 0022300134: month must be in 1..12, not 0
