fold,model,n_train,n_test,pi_method,mae_total,rmse_total,mae_margin,rmse_margin,pi80_cov_total,pi80_cov_margin,pi80_width_total,pi80_width_margin,brier_ml,ece_ml,brier_total_over,ece_total_over,brier_spread_home,ece_spread_home,roi,n_bets,max_drawdown
1,ridge,500,200,normal,11.72038359222438,15.447192151243874,9.559080815328711,11.85755332973677,0.76,0.775,34.435442627005365,27.830394440368238,0.1495259863776415,0.09202062122844866,0.14133369039516705,0.11654146950919159,0.19406040814343234,0.1670566472773071,,,
1,random_forest,500,200,normal,12.004524953553389,15.760884884318145,9.765391167582418,11.975771798299766,0.44,0.38,15.788968929417793,12.316017774556625,0.16313804909769275,0.15615145428522967,0.17655078792006845,0.15677144487207623,0.20341813992172073,0.17475816697115495,,,
1,gbt,500,200,normal,12.74528673150997,16.59829342367598,10.367884956351508,12.967568385645016,0.16,0.18,7.107324800488641,5.401229957942235,0.20432621021577774,0.19280156985573393,0.21746932130755942,0.2435006221688962,0.29827509624249626,0.32516632608039864,,,
2,ridge,1300,200,normal,10.921078789380267,13.902838887995395,8.738616788600712,11.027861385193036,0.78,0.8,35.404230826953324,28.200450084483744,0.16603835449861137,0.05235875526185487,0.17004747588204516,0.18199167402920824,0.18807134355086966,0.1289259983859991,,,
2,random_forest,1300,200,normal,10.996987714438342,14.043821381252371,8.582037045905484,11.049589102863779,0.49,0.455,16.623988514913577,12.098730128734157,0.18543869013881636,0.1407415997914538,0.15766002140805213,0.14573990818187652,0.21555988589879596,0.17697637855453252,,,
2,gbt,1300,200,normal,11.477417357918283,14.563261134474212,9.434252372482701,12.024616154373858,0.36,0.31,12.965351135652467,9.734458544915544,0.20597736311045745,0.17917106814354333,0.20695760763368662,0.2096896475346871,0.23686775257787585,0.20709424024992545,,,
3,ridge,2100,200,normal,11.622316875814313,15.698689637184826,9.40827091000014,11.600411015296473,0.83,0.775,35.242267021916085,28.81238718555148,0.2012337560185068,0.05823893836673357,0.2649460365667457,0.3937926997671165,0.29551021161259083,0.33434617002480876,,,
3,random_forest,2100,200,normal,11.893729708208461,15.857681789260111,9.422161995018872,11.558693620039184,0.42,0.385,15.908248091643259,12.370744427457339,0.23630962226014213,0.1956379167499047,0.2887371948259577,0.4180423280016793,0.24630496097035892,0.3819109454828178,,,
3,gbt,2100,200,normal,12.298045027601965,16.192187883517704,9.632697190813888,11.792934886582543,0.45,0.345,16.423573948011466,12.223159392707121,0.23448651398566459,0.1854236044365107,0.32189340272304107,0.4577124652598648,0.17020308309018156,0.18764296925186208,,,
