Rank,Model,MAE (train),MAE (test),RMSE (test),R² (test)
1,XGBoost,7.241571934648276,7.919599853532625,10.26846749821949,0.5514545645957454
2,LightGBM,8.279161771372268,8.9433817035944,11.419467630756424,0.44526330921234036
3,Gradient Boosting,8.433235684302817,8.9575507388852,11.446976992139307,0.4425873818019137
4,Random Forest,9.576387080006947,9.909822813675808,12.50182086382411,0.3351223730971501
5,Ridge Regression,11.507634254909204,11.374241797286993,14.784634471486719,0.07014258372972504
6,ElasticNet,11.486378275135129,11.396780844753163,14.786724505747632,0.06987966600543882
7,Neural Network,11.517522320608744,11.459196916860277,14.713563014427812,0.07906096169066701
