fold,model,n_train,n_test,pi_method,mae_total,rmse_total,mae_margin,rmse_margin,pi80_cov_total,pi80_cov_margin,pi80_width_total,pi80_width_margin,brier_ml,ece_ml,brier_total_over,ece_total_over,brier_spread_home,ece_spread_home,roi,n_bets,max_drawdown
1,ridge,500,200,normal,11.72038359222438,15.447192151243874,9.559080815328711,11.85755332973677,0.76,0.775,34.435442627005365,27.830394440368238,0.1495259863776415,0.09202062122844866,0.14133369039516705,0.11654146950919159,0.19406040814343234,0.1670566472773071,,,
1,random_forest,500,200,normal,12.004524953553387,15.760884884318145,9.765391167582418,11.975771798299766,0.44,0.38,15.78896892941779,12.316017774556625,0.16313804909769275,0.15615145428522967,0.17655078792006854,0.1567714448720763,0.20341813992172078,0.17475816697115495,,,
1,gbt,500,200,normal,12.74528673150997,16.59829342367598,10.367884956351508,12.967568385645016,0.16,0.18,7.107324800488641,5.401229957942235,0.20432621021577774,0.19280156985573393,0.21746932130755942,0.2435006221688962,0.29827509624249626,0.32516632608039864,,,
2,ridge,900,200,normal,10.655129483414285,13.593435772599333,9.52182953929844,11.265011757862691,0.79,0.79,35.32037284479393,28.516420331743817,0.18301723993201655,0.11879319520374257,0.18899969964778462,0.12406906756183109,0.1744003286639072,0.10225289166301993,,,
2,random_forest,900,200,normal,10.944226367868247,13.81890832374296,9.455069351100288,11.334415107516026,0.445,0.35,15.664674173555966,12.243623971332392,0.22034071384404302,0.18094604446664225,0.21817694447859906,0.17549556165729696,0.19510606618643683,0.15994344263893234,,,
2,gbt,900,200,normal,11.767003946902786,15.040631302773525,9.777964212733739,12.011086980067155,0.27,0.23,9.60398571249098,7.9877257687868894,0.2282684861673658,0.22371462840464937,0.28415745388337027,0.2848216226793495,0.2030182399139195,0.1888668552223886,,,
3,ridge,1300,200,normal,10.921078789380267,13.902838887995395,8.738616788600712,11.027861385193036,0.78,0.8,35.404230826953324,28.200450084483744,0.16603835449861137,0.05235875526185487,0.17004747588204516,0.18199167402920824,0.18807134355086966,0.1289259983859991,,,
3,random_forest,1300,200,normal,10.996987714438342,14.043821381252371,8.582037045905484,11.049589102863779,0.49,0.455,16.623988514913577,12.098730128734157,0.18543869013881636,0.1407415997914538,0.1576600214080521,0.14573990818187643,0.215559885898796,0.17697637855453252,,,
3,gbt,1300,200,normal,11.477417357918283,14.563261134474212,9.434252372482701,12.024616154373858,0.36,0.31,12.965351135652467,9.734458544915544,0.20597736311045745,0.17917106814354333,0.20695760763368662,0.2096896475346871,0.23686775257787585,0.20709424024992545,,,
4,ridge,1700,200,normal,11.093171325457963,13.66783254597621,9.229563103825726,11.731561447245582,0.81,0.755,35.48547777626893,28.202930514028665,0.18357967424512098,0.05519789092960791,,,,,,,
4,random_forest,1700,200,normal,10.984352160166223,13.55894277064924,9.419177341894217,11.942436850024087,0.415,0.42,16.149247694196276,12.094677150027486,0.22162902877843976,0.1845287431034519,,,,,,,
4,gbt,1700,200,normal,11.251169135288396,14.060413844658715,9.832497893926451,12.317222246744558,0.385,0.325,14.386704598674044,10.846207044577406,0.2281994224937617,0.19371246649858026,,,,,,,
5,ridge,2100,200,normal,11.622316875814313,15.698689637184826,9.40827091000014,11.600411015296473,0.83,0.775,35.242267021916085,28.81238718555148,0.2012337560185068,0.05823893836673357,0.2649460365667457,0.3937926997671165,0.29551021161259083,0.33434617002480876,,,
5,random_forest,2100,200,normal,11.893729708208461,15.85768178926011,9.422161995018872,11.558693620039186,0.42,0.385,15.908248091643259,12.370744427457339,0.23630962226014213,0.1956379167499047,0.28873719482595755,0.41804232800167895,0.24630496097035892,0.3819109454828178,,,
5,gbt,2100,200,normal,12.298045027601965,16.192187883517704,9.632697190813888,11.792934886582543,0.45,0.345,16.423573948011466,12.223159392707121,0.23448651398566459,0.1854236044365107,0.32189340272304107,0.4577124652598648,0.17020308309018156,0.18764296925186208,,,
6,ridge,2500,200,normal,14.939146767323118,25.096315200666915,8.459275310457508,11.014580856770019,0.79,0.815,35.66480262438906,29.053980844487395,0.16108991360534666,0.0764538477665894,0.17801262694616302,0.110856820016109,0.1968349727037343,0.16613300067833078,,,
6,random_forest,2500,200,normal,16.333748288829227,29.195696451189793,8.783499757083195,11.422949923269316,0.42,0.445,16.010548764704794,12.384723071030754,0.1955604066266261,0.16165461102322554,0.20369082184113374,0.16391600014852287,0.22678067944702662,0.20607056836295753,,,
6,gbt,2500,200,normal,16.582565142989488,28.224577317649295,9.366826775053312,12.208543315140254,0.415,0.485,18.0346394917824,13.979004424868767,0.20302214260504756,0.15970479118686048,0.2407583308105724,0.23669345611772635,0.2725505497126833,0.22452866973600386,,,
