config,n_estimators,max_depth,n_features,total_mae,total_rmse,margin_mae,margin_rmse
"Baseline (GBT, depth=3)",100,3,13,7.070181282822935,8.900998388924629,6.921493741911534,8.785184254431194
"Temporal (GBT, depth=3)",100,3,25,7.072702833706684,8.921685255959545,6.899395285439728,8.800249988024735
"Baseline (GBT, depth=6)",100,6,13,7.44019193372183,9.301105229898337,7.144333113394298,8.955329616716357
"Temporal (GBT, depth=6)",100,6,25,7.555654048864345,9.439499316775354,7.1442949230474255,9.063514593322262
"Baseline (GBT, depth=10)",200,10,13,7.794342318425206,9.821210512499997,7.432689734845476,9.34957859626333
"Temporal (GBT, depth=10)",200,10,25,7.660591276946607,9.633812470793867,7.342582808098311,9.261300832807319
